사업명,시장명,지자체,행정동명,60대이상인구,1km_이내_주차장수,1km_이내_CCTV수,축제수,1km_이내_도시공원수,1km_이내_관광지수,배달빈도수,1.5km_이내_대규모점포수,1km_이내_버스정류장수,10~30대인구,1km_이내_대학수,실업률(％),1km_이내_문화시설
문화관광형시장,연동시장,부산연제구,연산1동,5209,4,236,1.0,11,0.0,257236.0,5.0,0,4927,1,4.4,0
문화관광형시장,영도봉래시장,부산영도구,봉래1동,2801,9,189,4.0,0,3.0,152637.0,6.0,2,1544,0,4.2,23
문화관광형시장,골드테마거리,부산진구,범천1동,3132,20,449,2.0,5,2.0,471445.0,13.0,15,5599,0,4.2,21
문화관광형시장,부산평화시장,부산진구,범천1동,3132,18,449,2.0,5,2.0,471445.0,12.0,15,5599,0,4.2,21
청년몰활성화,서면시장,부산진구,부전2동,2192,3,161,2.0,1,2.0,471445.0,17.0,43,5092,0,4.2,53
문화관광형시장,반송큰시장(반송2동시장),부산해운대구,반송2동,10114,2,106,17.0,3,0.0,475968.0,1.0,0,4806,9,3.6,0
문화관광형시장,길동복조리시장,서울강동구,길동,12705,2,251,1.0,9,0.0,531558.0,5.0,98,16317,0,4.4,9
디지털전통시장,명일전통시장,서울강동구,명일1동,6334,6,252,1.0,22,0.0,531558.0,10.0,103,8980,0,4.4,6
디지털전통시장,암사종합시장,서울강동구,암사1동,9445,4,262,1.0,12,0.0,531558.0,10.0,62,11757,0,4.4,2
디지털전통시장,수유전통시장(수유골목시장),서울강북구,수유1동,6519,31,967,3.0,21,0.0,389537.0,8.0,123,6832,3,4.3,11
문화관광형시장,방신전통시장,서울강서구,방화1동,10517,5,213,1.0,25,0.0,732418.0,6.0,93,14924,0,3.2,6
문화관광형시장,화곡본동시장,서울강서구,화곡본동,7723,11,382,1.0,31,0.0,732418.0,9.0,111,14132,1,3.2,12
문화관광형시장,화곡중앙골목시장,서울강서구,화곡1동,12795,18,674,1.0,30,0.0,732418.0,7.0,123,22240,0,3.2,12
문화관광형시장,관악신사시장,서울관악구,신사동,5160,11,305,4.0,10,1.0,747008.0,5.0,108,11327,0,4.6,15
문화관광형시장,인헌시장,서울관악구,인헌동,5805,4,264,4.0,18,2.0,747008.0,4.0,69,12333,0,4.6,12
문화관광형시장,자양전통시장,서울광진구,자양1동,5477,2,208,2.0,12,4.0,456393.0,12.0,66,9252,16,3.2,26
문화관광형시장,중곡제일전통시장(중곡제일시장),서울광진구,중곡1동,3867,1,244,2.0,7,2.0,456393.0,5.0,102,6643,0,3.2,19
디지털전통시장,중곡제일전통시장(중곡제일시장),서울광진구,중곡1동,3867,1,244,2.0,7,2.0,456393.0,5.0,102,6643,0,3.2,19
